zip code,sum(ESTAB)
78501,23381
78503,10628
78504,14858
78516,2473
78520,12287
78521,13351
78526,5602
78535,19
78536,4
78537,2426
78538,230
78539,13399
78541,2328
78542,2257
78543,664
78548,9
78549,6
78550,15343
78552,3625
78557,2680
78558,22
78559,981
78560,242
78561,3
78562,8
78563,23
78566,939
78567,119
78569,85
78570,2966
78572,13519
78573,2178
78574,2383
78576,355
78577,12357
78578,1924
78579,134
78580,1043
78582,3825
78583,174
78584,1132
78586,4023
78588,11
78589,2557
78593,87
78594,10
78595,65
78596,8660
78597,2975
78598,38
